,Name,Sub-genres
0,Cluster12,"['artrock', 'neoprog', 'progressiverock', 'progrock', 'symphonicrock']"
1,Cluster7,"['alternative', 'alternativeindierock', 'alternativepoprock', 'alternativerock', 'ambientpop', 'artrockexperimental', 'avantgarde', 'britpop', 'dreampop', 'experimental', 'experimentalrock', 'garagerock', 'grunge', 'indie', 'indieelectronic', 'indiepop', 'indierock', 'indietronica', 'leftfield', 'lofi', 'neopsychedelia', 'newwavepostpunkrevival', 'noise', 'noisepop', 'noiserock', 'postgrunge', 'postrock', 'punk', 'shoegaze', 'spacerock']"
2,Cluster4,"['adultcontemporary', 'ballad', 'dancepop', 'disco', 'europop', 'foreignlanguagerock', 'latinamerica', 'latinpop', 'spanish', 'teenpop', 'vocal', 'westerneuropeantraditions']"
3,Cluster5,"['adultcontemporaryr&b', 'contemporaryr&b', 'contemporaryrnb', 'earlyr&b', 'funk', 'motown', 'neosoul', 'popsoul', 'quietstorm', 'rhythm&blues', 'rnb', 'rnbswing', 'smoothsoul', 'soul', 'urban', 'urbancrossover']"
4,Cluster13,"['avantgardejazz', 'bebop', 'bop', 'classicjazzneworleans', 'contemporaryjazz', 'cool', 'cooljazz', 'crossoverjazz', 'freejazz', 'fusion', 'groovesouljazz', 'hardbop', 'jazzfunk', 'jazzfusion', 'jazzinstrument', 'jazzpop', 'modernjazz', 'pianojazz', 'postbop', 'saxophonejazz', 'smoothjazz', 'souljazz', 'trumpetjazz']"
5,Cluster9,"['alternativehiphop', 'alternativerap', 'conscious', 'eastcoasthiphop', 'eastcoastrap', 'gangstarap', 'hardcorerap', 'hiphopurban', 'poprap', 'rap', 'raphiphop', 'undergroundhiphop', 'undergroundrap']"
6,Cluster1,"['acidjazz', 'ambient', 'bigbeat', 'breakbeat', 'breaks', 'club', 'downtempo', 'drumnbass', 'drumnbassjungle', 'dub', 'dubstep', 'electronica', 'electronicamainstream', 'eurodance', 'eurohouse', 'futurejazz', 'hiphop', 'house', 'nujazz', 'progressivehouse', 'progressivetrance', 'techhouse', 'techno', 'trance', 'triphop']"
7,Cluster10,"['alternativemetal', 'blackmetal', 'britishmetal', 'deathmetal', 'doommetal', 'funkmetal', 'gothicmetal', 'gothmetal', 'hairmetal', 'hardcore', 'heavymetal', 'industrialmetal', 'melodicdeathmetal', 'metal', 'metalcore', 'numetal', 'popmetal', 'posthardcore', 'powermetal', 'progressivemetal', 'rapmetal', 'scandinavianmetal', 'screamo', 'speedthrashmetal', 'stonerrock', 'symphonicmetal', 'thrash', 'thrashmetal']"
8,Cluster11,"['americanpunk', 'americanunderground', 'collegerock', 'emo', 'hardcorepunk', 'newwave', 'newwavepunk', 'poppunk', 'postpunk', 'powerpop', 'punkpop', 'punkrevival', 'punkrock', 'rootsreggae', 'ska']"
9,Cluster3,"['acousticblues', 'britishblues', 'chicagoblues', 'contemporaryblues', 'countryblues', 'deltablues', 'earlyacousticblues', 'electricblues', 'modernelectricblues', 'regionalblues']"
10,Cluster18,"['christmas', 'holiday', 'holidays']"
11,Cluster8,"['alternativedance', 'clubdance', 'dance', 'dancerock', 'darkwave', 'ebm', 'electro', 'electropop', 'elektro', 'gothicrock', 'gothrock', 'industrial', 'industrialdance', 'industrialrock', 'synthpop']"
12,Cluster0,"['abstract', 'ambienttechno', 'contemporaryinstrumental', 'darkambient', 'experimentalelectronic', 'experimentaltechno', 'glitch', 'idm', 'minimal', 'moderncomposition', 'worldbeat']"
13,Cluster2,"['acoustic', 'adultalternativepoprock', 'alternativecountry', 'alternativecountryrock', 'alternativefolk', 'alternativesingersongwriter', 'american', 'americana', 'britishfolk', 'britishislesceltic', 'celtic', 'contemporaryfolk', 'contemporarysingersongwriter', 'countryrock', 'countryrockfolk', 'folk', 'folkrock', 'folksingersongwriter', 'indiefolk', 'singersongwriter', 'traditionalfolk']"
14,Cluster16,"['bossanova', 'braziliantraditions', 'latinjazz', 'latinjazzworldfusion', 'worldfusion']"
15,Cluster14,"['bigband', 'bigbandswing', 'castrecordings', 'easylistening', 'jazzvocals', 'showtunes', 'standards', 'swing', 'traditionalpop', 'vocaljazz', 'vocalpop']"
16,Cluster17,"['ccm', 'ccmcontemporarygospel', 'christianrock', 'contemporarychristian', 'gospel', 'traditionalgospel']"
17,Cluster19,"['contemporary', 'filmmusic', 'filmscore', 'filmsoundtrack', 'modernclassical', 'originalscore', 'score', 'soundtrack', 'soundtracks', 'televisionmusic']"
18,Cluster15,"['bluegrass', 'classiccountry', 'contemporarycountry', 'country', 'countryfolk', 'countrypop', 'neotraditionalcountry', 'progressivecountry', 'traditionalcountry']"
19,Cluster6,"['albumrock', 'americantradrock', 'ampop', 'arenarock', 'blueeyedsoul', 'bluesrock', 'boogierock', 'britishinvasion', 'britishpsychedelia', 'classicrock', 'contemporarypoprock', 'earlypoprock', 'garagepsychedelic', 'glam', 'glamrock', 'guitarvirtuoso', 'hardrock', 'heartlandrock', 'instrumentalrock', 'jambands', 'jazzrock', 'latinrock', 'mainstreamrock', 'oldie', 'pop', 'poprock', 'protopunk', 'psychedelicpop', 'psychedelicrock', 'rock&roll', 'rock&rollroots', 'rockabilly', 'rocknroll', 'rootsrock', 'softrock', 'southernrock']"
